RPT_REC_NUM,PRVDR_CTRL_TYPE_CD,PRVDR_NUM,RPT_STUS_CD,filed_date,fy_start_date,fy_end_date,source_year,days_in_period,most_recent,acute_beds_0700,icu_beds_0800,extra_0899,coronary_beds_0900,extra_0999,burn_beds_1000,extra_1099,surg_icu_beds_1100,extra_1199,oth_spec_beds_1200,extra_1299,subtotal_acute_beds_1400,subprovider_ipf_beds_1600,subprovider_irf_beds_1700,subprovider_oth_beds_1800,skilled_nursing_beds_1900,nursing_fac_beds_2000,oth_longterm_beds_2100,hospice_beds_2400,all_beds_2700,labor_delivery_beds_3200,acute_bed_days_0700,icu_bed_days_0800,extra_days_0899,coronary_bed_days_0900,extra_days_0999,burn_bed_days_1000,extra_days_1099,oth_spec_bed_days_1100,extra_days_1199,oth_spec_bed_days_1200,extra_days_1299,subtotal_acute_bed_days_1400,subprovider_ipf_bed_days_1600,subprovider_irf_bed_days_1700,subprovider_oth_bed_days_1800,skilled_nursing_bed_days_1900,nursing_fac_bed_days_2000,oth_longterm_bed_days_2100,hospice_bed_days_2400,obs_bed_days_2800,labor_delivery_bed_days_3200,subtotal_acute_utilization,all_beds_utilization
632870,4,522006,2,2017-04-03,2015-11-01,2016-10-31,2016,365,f,63,,,,,,,,,,,63,,,,,,,,63,,,,,,,,,,,,,18198,,,,,,,,,,79.0000,
632930,9,111318,2,2017-05-04,2015-10-01,2016-09-30,2016,365,f,25,,,,,,,,,,,25,,,,,,,,25,,,,,,,,,,,,,2404,,,,,,,,256,,26.0000,
632933,9,161303,2,2017-11-17,2016-07-01,2017-06-30,2016,364,f,25,,,,,,,,,,,25,,,,,,55,,80,,,,,,,,,,,,,1351,,,,,,17723,,251,,14.0000,
632943,2,241379,2,2017-03-20,2016-01-01,2016-09-30,2016,273,f,10,,,,,,,,,,,10,,,,,,,,10,,,,,,,,,,,,,577,,,,,,,,47,,21.0000,
632969,4,424008,2,2017-04-25,2016-01-01,2016-12-31,2016,365,f,122,,,,,,,,,,,122,,,,,,20,,142,,,,,,,,,,,,,33565,,,,,,,,,,75.0000,
633004,1,281346,2,2017-11-30,2016-07-01,2017-06-30,2016,364,f,15,,,,,,,,,,,15,,,,,,,,15,,,,,,,,,,,,,712,,,,,,,,81,,13.0000,
642302,2,510029,5,2019-02-01,2017-10-01,2018-09-30,2018,364,t,162,,,16,,,,,,,,178,28,,,,,,,206,,,,,3233,,,,,,,,36528,1879,,,,,,,7364,,56.0000,
648023,4,490060,1,2019-05-02,2017-12-01,2018-11-30,2018,364,t,139,12,,,,,,,,,,151,,,,19,,,,170,,,1969,,,,,,,,,,11962,,,,3219,,,,2362,,21.0000,
648024,5,673034,5,2019-05-21,2018-01-01,2018-12-31,2018,364,t,60,,,,,,,,,,,60,,,,,,,,60,,,,,,,,,,,,,16676,,,,,,,,,,76.0000,
648025,4,673052,5,2019-05-20,2018-01-01,2018-12-31,2018,364,t,60,,,,,,,,,,,60,,,,,,,,60,,,,,,,,,,,,,13608,,,,,,,,,,62.0000,
648044,2,161350,1,2019-05-16,2018-01-01,2018-12-31,2018,364,t,23,2,,,,,,,,,,25,,,,,,,,25,,,18,,,,,,,,,,1321,,,,,,,,524,,14.0000,
648060,9,260034,1,2019-05-16,2018-01-01,2018-12-31,2018,364,t,44,,,,,,,,,,,44,,,,,,,,44,,,,,,,,,,,,,3327,,,,,,,,493,,20.0000,
648061,2,281345,1,2019-05-16,2018-01-01,2018-12-31,2018,364,t,21,,,,,,,,,,,21,,,,,,,,21,,,,,,,,,,,,,1612,,,,,,,,240,,21.0000,
648081,5,673048,1,2019-05-21,2018-01-01,2018-12-31,2018,364,t,66,,,,,,,,,,,66,,,,,,,,66,,,,,,,,,,,,,16898,,,,,,,,,,70.0000,
648093,4,103043,1,2019-05-17,2018-01-01,2018-12-31,2018,364,t,60,,,,,,,,,,,60,,,,,,,,60,,,,,,,,,,,,,18678,,,,,,,,,,85.0000,
648104,5,153043,1,2019-05-22,2018-01-01,2018-12-31,2018,364,t,60,,,,,,,,,,,60,,,,,,,,60,,,,,,,,,,,,,16883,,,,,,,,,,77.0000,
624190,11,171335,2,2017-06-19,2016-01-01,2016-12-31,2016,365,f,17,,,,,,,,,,,17,,,,,,83,,100,,,,,,,,,,,,,1117,,,,,,25732,,41,,18.0000,
624224,4,194109,2,2017-05-31,2016-01-01,2016-12-31,2016,365,f,20,,,,,,,,,,,20,,,,,,,,20,,,,,,,,,,,,,5390,,,,,,,,,,73.0000,
624225,6,264031,2,2017-05-19,2016-01-01,2016-12-31,2016,365,f,14,,,,,,,,,,,14,,,,,,,,14,,,,,,,,,,,,,3819,,,,,,,,,,74.0000,
624245,9,171322,2,2017-06-01,2016-01-01,2016-12-31,2016,365,f,25,,,,,,,,,,,25,,,,,,44,,69,,,,,,,,,,,,,373,,,,,,,,75,,4.0000,
624253,2,364040,2,2017-11-28,2016-07-01,2017-06-30,2016,364,f,16,,,,,,,,,,,16,,,,,,,,16,,,,,,,,,,,,,4895,,,,,,,,,,84.0000,
