zipcode,name,rg_name,rg_abbrev,area,totpop_cy,tothh_cy,medhinc_cy,avghinc_cy,pci_cy,meddi_cy,avgdi_cy,white_cy,black_cy,amerind_cy,asian_cy,pacific_cy,othrace_cy,race2up_cy,hispwht_cy,hispblk_cy,hispai_cy,hispasn_cy,hisppi_cy,hispoth_cy,hispmlt_cy,nhspwht_cy,nhspblk_cy,nhspai_cy,nhspasn_cy,nhsppi_cy,nhspoth_cy,nhspmlt_cy,oha_count,oha_count_lw,new_min,new_max,or_rate,date,jf_rate_tot,jf_rate_new_min,jf_rate_new_max
97203,Portland,Oregon,OR,11.351990096770937,35659,13018,57817,74620,27357,46483,55685,22856,3868,616,1560,507,3616,2636,2178,104,188,49,20,3529,662,20678,3764,428,1511,487,87,1974,185,151,34,34,59.6,2020-07-22,51.8803107209961,9.53475980818307,9.53475980818307
97148,Yamhill,Oregon,OR,138.283324782650197,3676,1345,93310,118953,43528,68903,84604,3396,18,36,40,3,72,111,107,0,1,6,0,72,33,3289,18,35,34,3,0,78,-1,-1,0,8,-1,2020-07-22,-1,0,21.7627856365615
97149,Neskowin,Oregon,OR,59.918497285034348,676,309,52728,90251,41254,42954,63333,644,2,3,11,0,3,13,46,0,2,0,0,3,1,598,2,1,11,0,0,12,,,,,,,-2,-2,-2
97216,Portland,Oregon,OR,2.497397732214410,17405,6845,50559,64621,25434,40043,49362,11588,907,178,2591,95,1124,922,971,13,67,9,2,1102,198,10617,894,111,2582,93,22,724,65,55,10,10,41.7,2020-07-22,37.3455903476013,5.7454754380925,5.7454754380925
97217,Portland,Oregon,OR,10.622252089360355,36211,15627,69277,88416,38167,53414,64435,24870,4707,383,1782,412,1625,2432,1514,108,108,37,21,1526,526,23356,4599,275,1745,391,99,1906,107,84,23,23,34,2020-07-22,29.5490320620806,6.35166109745657,6.35166109745657
97218,Portland,Oregon,OR,10.933331212801003,15828,5929,59510,74854,28081,47999,56415,9123,2389,288,1128,73,1886,941,1022,65,139,11,3,1849,239,8101,2324,149,1117,70,37,702,59,53,6,6,40.5,2020-07-22,37.2757139246904,3.79075056861259,3.79075056861259
97229,Portland,Oregon,OR,19.391183637397798,70680,26179,119453,149812,55491,87634,100404,47261,1289,251,16478,182,1729,3490,2520,26,63,43,28,1581,450,44741,1263,188,16435,154,148,3040,117,94,23,23,20.1,2020-07-22,16.553480475382,3.25410299943407,3.25410299943407
97231,Portland,Oregon,OR,63.294200445582497,4482,1873,112694,161217,67390,83908,104638,3909,27,83,199,8,99,157,129,0,5,5,1,94,27,3780,27,78,194,7,5,130,12,12,0,0,28,2020-07-22,26.7737617135207,0,0
97302,Salem,Oregon,OR,24.242351044717967,40790,17018,64161,85256,35591,50944,62522,34223,645,585,1019,491,1891,1936,2156,32,141,16,11,1837,480,32067,613,444,1003,480,54,1456,130,115,15,15,35,2020-07-22,31.8705565089483,3.67737190487865,3.67737190487865
97310,Salem,Oregon,OR,0.271909023979819,1564,0,0,0,44343,0,0,1210,136,40,33,7,95,43,108,1,9,1,3,93,18,1102,135,31,32,4,2,25,,,,,,,-2,-2,-2
97322,Albany,Oregon,OR,66.153258637994938,37145,14448,49169,61633,24004,39242,47931,31214,405,505,503,106,2768,1644,2350,60,120,17,9,2723,490,28864,345,385,486,97,45,1154,68,64,4,4,19.9,2020-07-22,18.3066361556064,1.07686095032979,1.07686095032979
97324,Alsea,Oregon,OR,196.401763638427553,1212,499,58972,76116,31349,47473,57377,1116,7,11,13,0,18,47,29,2,0,0,0,13,4,1087,5,11,13,0,5,43,-1,-1,0,8,-1,2020-07-22,-1,0,66.006600660066
97326,Blodgett,Oregon,OR,115.523652081091157,1137,468,52342,74154,30526,41886,55175,1032,1,35,14,1,7,47,28,0,5,0,0,7,9,1004,1,30,14,1,0,38,,,,,,,-2,-2,-2
97329,Cascadia,Oregon,OR,1004.322598328403160,232,114,67223,79016,38827,52073,60369,213,1,4,0,0,3,11,4,0,0,0,0,3,2,209,1,4,0,0,0,9,,,,,,,-2,-2,-2
97342,Detroit,Oregon,OR,269.977900275448860,268,126,52250,63808,29999,40802,49130,249,0,2,2,0,0,15,8,0,0,0,0,0,3,241,0,2,2,0,0,12,,,,,,,-2,-2,-2
97343,Eddyville,Oregon,OR,171.091695233414413,462,190,51283,64378,26485,39371,48757,427,0,5,5,1,4,20,7,0,0,0,0,4,5,420,0,5,5,1,0,15,,,,,,,-2,-2,-2
97327,Brownsville,Oregon,OR,83.842886236245803,3181,1246,60345,80887,31683,48914,60888,2943,23,34,21,4,37,119,94,0,0,7,2,34,13,2849,23,34,14,2,3,106,-1,-1,0,8,-1,2020-07-22,-1,0,25.1493241119145
97341,Depoe Bay,Oregon,OR,23.974391276198340,2620,1338,50974,64476,32934,39073,49489,2376,2,39,39,7,64,93,80,0,3,2,1,62,22,2296,2,36,37,6,2,71,-1,-1,0,8,-1,2020-07-22,-1,0,30.5343511450382
97344,Falls City,Oregon,OR,236.294473687324370,1216,467,49123,63744,24481,39046,48695,1110,4,28,7,1,22,44,21,0,3,0,0,20,16,1089,4,25,7,1,2,28,-1,-1,0,8,-1,2020-07-22,-1,0,65.7894736842105
97347,Grand Ronde,Oregon,OR,101.567616493971201,2034,790,51190,69547,27012,41756,52529,1425,3,375,9,0,37,185,27,0,37,0,0,35,16,1398,3,338,9,0,2,169,-1,-1,0,8,-1,2020-07-22,-1,0,39.3313667649951
97357,Logsden,Oregon,OR,32.711141463393801,242,101,55740,72193,30130,43741,55931,165,0,57,1,0,2,17,3,0,5,0,0,2,3,162,0,52,1,0,0,14,,,,,,,-2,-2,-2
97355,Lebanon,Oregon,OR,210.670447169973357,31285,11964,51381,66356,25386,41005,51459,28277,177,470,341,43,702,1275,915,16,52,4,8,673,295,27362,161,418,337,35,29,980,62,57,5,5,21.7,2020-07-22,19.8178040594534,1.59821000479463,1.59821000479463
97361,Monmouth,Oregon,OR,126.510175147304935,12611,4444,47043,60193,21354,37340,46379,10236,252,176,361,60,946,580,708,22,62,16,3,930,148,9528,230,114,345,57,16,432,15,13,2,2,13.3,2020-07-22,11.8943779240346,1.58591705653794,1.58591705653794
97362,Mount Angel,Oregon,OR,21.312028845721567,5034,1694,53086,74594,25213,43088,56098,3894,30,52,51,26,806,175,683,5,16,2,0,805,80,3211,25,36,49,26,1,95,28,24,4,4,64.5,2020-07-22,55.621771950735,7.94596742153357,7.94596742153357
97365,Newport,Oregon,OR,31.739424860607436,11131,4781,46167,64738,27857,37474,49399,9045,129,232,213,32,1002,478,788,20,56,2,0,998,144,8257,109,176,211,32,4,334,299,296,3,3,278.3,2020-07-22,268.619171682688,2.69517563561225,2.69517563561225
97367,Lincoln City,Oregon,OR,136.311926035336796,11088,5110,41295,55404,25552,34249,42661,9186,95,357,200,26,811,413,511,7,50,5,1,805,141,8675,88,307,195,25,6,272,20,15,5,5,21.2,2020-07-22,18.037518037518,4.50937950937951,4.50937950937951
97358,Lyons,Oregon,OR,41.730801829922008,2960,1150,65701,78086,30339,52137,59886,2679,13,48,29,14,58,119,91,0,7,0,2,55,17,2588,13,41,29,12,3,102,0,-1,0,0,0,2020-07-22,0,0,0
97360,Mill City,Oregon,OR,24.145251452238508,2520,929,50811,62811,23156,39879,48583,2278,16,46,16,23,42,99,150,0,13,0,0,41,30,2128,16,33,16,23,1,69,-1,-1,0,8,-1,2020-07-22,-1,0,31.7460317460317
97366,South Beach,Oregon,OR,12.312478497354014,1514,701,57443,82539,38218,45930,59750,1396,3,24,16,3,6,66,32,1,5,0,0,5,16,1364,2,19,16,3,1,50,-1,-1,0,8,-1,2020-07-22,-1,0,52.8401585204756
97370,Philomath,Oregon,OR,146.864981466819785,9193,3521,63322,86067,32968,51053,63685,8225,65,80,199,6,213,405,308,7,16,1,1,203,57,7917,58,64,198,5,10,348,17,16,1,1,20.6,2020-07-22,18.4923311215055,1.08778418361797,1.08778418361797
97376,Seal Rock,Oregon,OR,62.702165808781949,1707,800,46445,71239,33388,37872,53279,1585,5,21,10,3,16,67,32,0,3,0,0,13,9,1553,5,18,10,3,3,58,0,-1,0,0,0,2020-07-22,0,0,0
97374,Scio,Oregon,OR,179.386006684689875,5641,2054,71138,84908,30920,54348,64190,5154,19,81,34,18,129,206,101,0,8,1,0,125,37,5053,19,73,33,18,4,169,-1,-1,0,8,-1,2020-07-22,-1,0,14.1818826449211
97375,Scotts Mills,Oregon,OR,32.197898709069960,1227,432,84889,97999,34507,62065,73332,1144,3,10,11,2,29,28,26,0,0,0,0,29,5,1118,3,10,11,2,0,23,-1,-1,0,8,-1,2020-07-22,-1,0,65.19967400163
97378,Sheridan,Oregon,OR,136.875599486188207,9474,2677,51177,64270,23350,40370,49599,7170,465,451,269,56,591,472,576,6,44,20,1,581,105,6594,459,407,249,55,10,367,-1,-1,0,8,-1,2020-07-22,-1,0,8.44416297234537
97371,Rickreall,Oregon,OR,31.560483733138419,697,259,73174,90475,33628,55147,67057,640,3,9,7,0,17,21,41,0,0,0,0,17,6,599,3,9,7,0,0,15,,,,,,,-2,-2,-2
97377,Shedd,Oregon,OR,50.917299634092522,1096,418,66610,96354,36763,53834,69931,984,7,8,10,0,52,35,42,0,0,0,0,47,10,942,7,8,10,0,5,25,,,,,,,-2,-2,-2
97391,Toledo,Oregon,OR,82.383026426331455,6040,2335,52634,70203,27141,41235,52789,5367,47,260,42,6,71,247,170,10,29,1,2,69,44,5197,37,231,41,4,2,203,15,14,1,1,28.1,2020-07-22,24.8344370860927,1.65562913907285,1.65562913907285
97392,Turner,Oregon,OR,40.547786829771979,5381,1956,71954,90713,32987,55143,67681,4913,34,54,57,7,166,150,213,7,6,2,1,164,26,4700,27,48,55,6,2,124,18,18,0,0,34.7,2020-07-22,33.4510314068017,0,0
97389,Tangent,Oregon,OR,35.237775145122860,1775,627,59138,85213,30102,47791,62259,1551,5,18,14,5,94,88,49,0,3,0,0,92,37,1502,5,15,14,5,2,51,-1,-1,0,8,-1,2020-07-22,-1,0,45.0704225352113
97394,Waldport,Oregon,OR,74.551236102071812,5099,2430,46170,61470,29296,37162,47137,4657,48,73,59,19,31,212,119,0,6,1,5,26,22,4538,48,67,58,14,5,190,-1,-1,0,8,-1,2020-07-22,-1,0,15.6893508531085
97396,Willamina,Oregon,OR,101.559482234826746,3688,1315,50511,58738,20947,38917,46074,2948,30,357,11,8,79,255,101,0,21,0,0,77,34,2847,30,336,11,8,2,221,-1,-1,0,8,-1,2020-07-22,-1,0,21.6919739696312
97390,Tidewater,Oregon,OR,103.967718568570362,626,309,48103,73480,36307,38502,54391,582,7,9,7,1,5,15,15,0,1,0,0,4,2,567,7,8,7,1,1,13,,,,,,,-2,-2,-2
97402,Eugene,Oregon,OR,86.755863514906508,54883,22534,44970,59142,24310,36514,45505,44468,896,924,1481,178,3580,3356,3504,125,249,40,19,3488,837,40964,771,675,1441,159,92,2519,64,56,8,8,12.7,2020-07-22,11.6611701255398,1.45764626569247,1.45764626569247
97406,Agness,Oregon,OR,414.005762643062724,140,71,47101,56805,28808,36898,44669,131,0,4,1,0,1,3,4,0,1,0,0,1,0,127,0,3,1,0,0,3,,,,,,,-2,-2,-2
97407,Allegany,Oregon,OR,0.018911627994700,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-2,-2,-2
97411,Bandon,Oregon,OR,136.503974691971052,7906,3641,35720,50548,23335,27822,39263,7245,28,127,102,15,116,273,245,0,20,0,5,103,48,7000,28,107,102,10,13,225,0,-1,0,0,0,2020-07-22,0,0,0
97419,Cheshire,Oregon,OR,31.184830944225787,1186,516,63300,75871,33010,50728,58010,1053,9,18,12,2,41,51,24,1,1,0,0,35,11,1029,8,17,12,2,6,40,0,-1,0,0,0,2020-07-22,0,0,0
97437,Elmira,Oregon,OR,24.343028786324371,3035,1153,59021,72978,27727,47587,55321,2819,6,34,22,5,18,131,76,0,5,0,0,17,21,2743,6,29,22,5,1,110,0,-1,0,0,0,2020-07-22,0,0,0
